rfid,subid,name,long,lat,area,perim,bleach,blchyn,year
14118,S,Eyrie Reef,145.38,-14.71,0.001001933,0.186515733,5,0,1998
14120,A,Turtle Group Reef (No 1),145.19,-14.73,4.51E-05,0.044617955,4,1,1998
14120,B,Turtle Group Reef (No 2),145.2,-14.74,6.13E-05,0.058145352,4,1,1998
14120,C,Turtle Group Reef (No 3),145.18,-14.73,7.31E-06,0.014056918,3,1,1998
14120,F,Turtle Group Reef (No 6),145.19,-14.72,1.37E-05,0.023793847,4,1,1998
14131,S,Decapolis Reef,145.27,-14.85,1.36E-05,0.013835651,4,1,1998
14133,S,U/N Reef,145.51,-14.92,0.000419157,0.10302566,5,0,1998
14135,S,Helsdon Reef,145.48,-14.94,0.00089582,0.157361895,5,0,1998
14137,S,Carter Reef,145.59,-14.55,0.001129653,0.145438443,5,0,1998
14138,S,Yonge Reef,145.62,-14.6,0.000858216,0.1377912,5,0,1998
14139,S,No Name Reef,145.65,-14.65,0.000570511,0.091095089,5,0,1998
14143,S,North Direction Reef,145.51,-14.74,5.77E-05,0.041539796,5,0,1998
14147,A,South Direction Reef (North),145.52,-14.82,0.00011152,0.078354465,5,0,1998
14147,B,South Direction Reef (South),145.52,-14.81,9.29E-05,0.040070269,5,0,1998
14150,B,NA,145.56,-14.88,NA,NA,5,0,1998
14151,S,No 10 Patches (No 1),145.69,-14.92,5.55E-05,0.027712726,5,0,1998
14152,S,No 10 Patches (No 2),145.68,-14.93,0.000101411,0.038557271,5,0,1998
14154,S,Ribbon No 9 Reef,145.7,-14.99,0.001603723,0.169426948,5,0,1998
15002,S,Two Islands Reef,145.44,-15.02,0.000111844,0.066270241,4,1,1998
15003,S,Low Wooded Reef,145.38,-15.1,6.32E-05,0.041122304,1,1,1998
15005,S,Three Islands Reef,145.42,-15.11,0.000148016,0.0821825,3,1,1998
15006,S,Conical Rock Reef,145.32,-15.14,0.000138475,0.073613096,1,1,1998
15006,S,Conical Rock Reef,145.32,-15.14,0.000138475,0.073613096,2,1,1998
15008,S,Beor Reef,145.27,-15.16,3.24E-05,0.024586447,2,1,1998
15012,S,Boulder Reef,145.43,-15.41,0.000939897,0.112194582,4,1,1998
15013,S,Egret Reef,145.42,-15.47,0.000731638,0.099787048,3,1,1998
15018,S,Pasco Reef,145.53,-15.05,0.000176731,0.05303331,5,0,1998
15019,S,Long Reef,145.57,-15.05,0.000669858,0.116190905,5,0,1998
15021,S,NA,145.72,-15.08,NA,NA,5,0,1998
15024,S,Mackay Reefs,145.58,-15.14,0.002361083,0.247353544,5,0,1998
15027,S,Marx Reef,145.62,-15.2,0.000174407,0.057898851,5,0,1998
15028,S,Startle Reefs,145.56,-15.21,0.001031374,0.200884555,5,0,1998
15031,S,Pullen Reefs,145.58,-15.25,0.000187499,0.060824846,5,0,1998
15032,S,Ribbon No 6 Reef,145.75,-15.28,0.000915979,0.119041776,5,0,1998
15035,S,U/N Reef,145.64,-15.32,2.58E-05,0.020021136,5,0,1998
15036,S,U/N Reef,145.65,-15.33,0.000114128,0.043860586,5,0,1998
15039,S,Williamson Reefs,145.58,-15.36,0.003230015,0.270770014,5,0,1998
15044,S,U/N Reef,145.61,-15.43,0.000363631,0.082111082,5,0,1998
15047,S,U/N Reef,145.68,-15.46,0.000460294,0.087343877,5,0,1998
15048,S,U/N Reef,145.65,-15.49,0.000173636,0.065284011,5,0,1998
15063,S,Gubbins Reef,145.39,-15.71,3.20E-05,0.030401432,1,1,1998
15064,S,Hope Islands Reef (West),145.44,-15.74,0.000265546,0.092964818,1,1,1998
