symbol,date,price
Dol_Sum,Sep 2001,10.262948
Dol_Sum,Oct 2001,9.156548
Dol_Sum,Nov 2001,9.625808
Dol_Sum,Dec 2001,9.137621
Dol_Sum,Jan 2002,11.889394
Dol_Sum,Feb 2002,11.089056
Dol_Sum,Mar 2002,11.343329
Dol_Sum,Apr 2002,11.334887
Dol_Sum,May 2002,11.141708
Dol_Sum,Jun 2002,11.253944
Dol_Sum,Jul 2002,11.382583
Dol_Sum,Aug 2002,11.992734
Dol_Sum,Sep 2002,10.801186
Dol_Sum,Oct 2002,11.112594
Dol_Sum,Nov 2002,10.826454
Dol_Sum,Dec 2002,9.636796
Dol_Sum,Jan 2003,9.148996
Dol_Sum,Feb 2003,9.367568
Dol_Sum,Mar 2003,10.088806
Dol_Sum,Apr 2003,9.18272
Dol_Sum,May 2003,9.731067
Dol_Sum,Jun 2003,9.976964
Dol_Sum,Jul 2003,9.746476
Dol_Sum,Aug 2003,10.431166
Dol_Sum,Sep 2003,10.086712
Dol_Sum,Oct 2003,9.618851
Dol_Sum,Nov 2003,9.326524
Dol_Sum,Dec 2003,8.805044
Dol_Sum,Jan 2004,10.055969
Dol_Sum,Feb 2004,9.815198
Dol_Sum,Mar 2004,9.922447
Dol_Sum,Apr 2004,9.561662
Dol_Sum,May 2004,10.522604
Dol_Sum,Jun 2004,10.630337
Dol_Sum,Jul 2004,10.42688
Dol_Sum,Aug 2004,11.453526
Dol_Sum,Sep 2004,10.281046
Dol_Sum,Oct 2004,9.699875
Dol_Sum,Nov 2004,9.804173
Dol_Sum,Dec 2004,8.660313
Dol_Sum,Jan 2005,9.565146
Dol_Sum,Feb 2005,9.745645
Dol_Sum,Mar 2005,9.236269
Dol_Sum,Apr 2005,9.699311
Dol_Sum,May 2005,10.274724
Dol_Sum,Jun 2005,10.089499
Dol_Sum,Jul 2005,9.982993
Dol_Sum,Aug 2005,9.568387
Dol_Sum,Sep 2005,9.875351
Dol_Sum,Oct 2005,9.897283
Dol_Sum,Nov 2005,9.188142
Dol_Sum,Dec 2005,9.132509
Dol_Sum,Jan 2006,8.654477
Dol_Sum,Feb 2006,9.171434
Dol_Sum,Mar 2006,8.79056
Dol_Sum,Apr 2006,9.35376
Dol_Sum,May 2006,9.860037
Dol_Sum,Jun 2006,10.173837
Dol_Sum,Jul 2006,9.510721
Dol_Sum,Aug 2006,10.635555
Dol_Sum,Sep 2006,9.360456
Dol_Sum,Oct 2006,9.765571
Dol_Sum,Nov 2006,9.138003
Dol_Sum,Dec 2006,8.704762
Dol_Sum,Jan 2007,9.672954
Dol_Sum,Feb 2007,8.820719
Dol_Sum,Mar 2007,8.755583
Dol_Sum,Apr 2007,8.949211
Dol_Sum,May 2007,9.807307
Dol_Sum,Jun 2007,9.985364
Dol_Sum,Jul 2007,10.242984
Dol_Sum,Aug 2007,10.047286
Dol_Sum,Sep 2007,10.324387
Dol_Sum,Oct 2007,10.209191
Dol_Sum,Nov 2007,8.781872
Dol_Sum,Dec 2007,8.638864
Dol_Sum,Jan 2008,9.123199
Dol_Sum,Feb 2008,8.837224
Dol_Sum,Mar 2008,8.382658
Dol_Sum,Apr 2008,9.559128
Dol_Sum,May 2008,9.956099
Dol_Sum,Jun 2008,10.256622
Dol_Sum,Jul 2008,9.808497
Dol_Sum,Aug 2008,10.437949
Dol_Sum,Sep 2008,10.477035
Dol_Sum,Oct 2008,10.63155
